素材编号,标题,上传人,上传日期,文件大小(MB),审核状态,标签,审核人,所在城市,备注
A0001,素材_001_冬季,李四,2024/9/5,63.76MB,待审核,节日;促销,,上海,背景音乐问题
A0002,素材_002_夏日,赵六,2024/6/12,66.39MB,待审核,节日,,武汉,
A0003,素材_003_新品,陈七,2024/6/23,203.0MB,已拒绝,品牌,周九,广州,
A0004,素材_004_新品,张三,2024/10/23,106.22MB,已通过,促销;品牌,刘八,西安,背景音乐问题
A0005,素材_005_夏日,张三,2024/2/18,93.34MB,已通过,剧情;搞笑,赵六,深圳,
A0006,素材_006_新品,王五,2024/1/31,526.57MB,待审核,搞笑;节日,,成都,
A0007,素材_007_冬季,王五,2024/3/22,196.84MB,已拒绝,促销;搞笑;剧情,王五,西安,重新剪辑
A0008,素材_008_冬季,张三,2024/4/14,428.49MB,已拒绝,剧情,张三,成都,重新剪辑
A0009,素材_009_限定,周九,2024/4/13,166.04MB,待审核,剧情;促销;生活,,西安,
A0010,素材_010_限定,周九,2024/4/12,185.65MB,待审核,搞笑;剧情;生活,,成都,
A0011,素材_011_冬季,周九,2024/2/23,321.43MB,已拒绝,促销,王五,上海,重新剪辑
A0012,素材_012_新品,刘八,2024/5/28,597.87MB,已拒绝,搞笑;生活;种草,李四,上海,
A0013,素材_013_夏日,陈七,2024/6/17,299.55MB,待审核,搞笑;生活;促销,,深圳,
A0014,素材_014_限定,张三,2024/5/25,346.66MB,待审核,种草;搞笑;品牌,,上海,
A0015,素材_015_限定,李四,2024/12/7,181.7MB,已通过,促销,李四,广州,
A0016,素材_016_冬季,赵六,2024/9/13,570.77MB,已通过,搞笑,周九,杭州,重新剪辑
A0017,素材_017_夏日,刘八,2024/9/17,255.38MB,已拒绝,生活;种草;促销,赵六,北京,背景音乐问题
A0018,素材_018_夏日,赵六,2024/8/3,373.64MB,待审核,促销,,上海,
A0019,素材_019_冬季,王五,2024/11/29,88.97MB,已通过,搞笑,吴十,西安,
A0020,素材_020_限定,刘八,2024/10/31,494.12MB,已通过,促销,李四,武汉,重新剪辑
A0021,素材_021_夏日,赵六,2024/6/30,79.79MB,已拒绝,促销;种草;节日,刘八,深圳,
A0022,素材_022_冬季,李四,2024/7/27,127.1MB,已通过,搞笑,吴十,西安,背景音乐问题
A0023,素材_023_冬季,周九,2024/2/8,408.68MB,待审核,种草;生活;促销,,西安,重新剪辑
A0024,素材_024_限定,陈七,2024/3/24,546.34MB,已通过,测评,张三,西安,
A0025,素材_025_冬季,张三,2024/6/13,576.52MB,已拒绝,生活;促销;测评,陈七,北京,字幕缺失
